key,code,start_date,end_date,mark,link,key:code-audit
audit-record-01,AU-0000-111,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-02,AU-0000-000,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-03,AU-0000-001,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-04,AU-9999-999,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-05,AU-9999-998,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-06,AU-4444-555,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-07,AU-0000-002,2000/01/01 00:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-08,AU-0000-003,2000/01/01 00:01,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-09,AU-0000-004,2022/07/29 23:59,2022/07/30 00:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-10,AU-0000-005,2022/07/29 23:58,2022/07/30 00:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-11,AU-0000-006,2020/02/29 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-12,AU-0000-007,2000/01/01 00:00,2000/01/01 01:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-13,AU-0000-008,2000/01/01 00:01,2000/01/01 01:01,B,https://github.com/IbaiPerez,code-audit-01
audit-record-14,AU-0000-009,2020/02/28 17:00,2022/07/30 00:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-15,AU-0000-010,2020/02/28 17:00,2022/07/29 23:59,B,https://github.com/IbaiPerez,code-audit-01
audit-record-16,AU-0000-011,2020/02/28 17:00,2020/02/29 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-17,AU-0000-012,2020/02/28 17:00,2020/03/01 17:00,A_PLUS,https://github.com/IbaiPerez,code-audit-01
audit-record-18,AU-0000-013,2020/02/28 17:00,2020/03/01 17:00,A,https://github.com/IbaiPerez,code-audit-01
audit-record-19,AU-0000-014,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-20,AU-0000-015,2020/02/28 17:00,2020/03/01 17:00,C,https://github.com/IbaiPerez,code-audit-01
audit-record-21,AU-0000-016,2020/02/28 17:00,2020/03/01 17:00,F,https://github.com/IbaiPerez,code-audit-01
audit-record-22,AU-0000-017,2020/02/28 17:00,2020/03/01 17:00,F_MINUS,https://github.com/IbaiPerez,code-audit-01
audit-record-23,AU-0000-018,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-24,AU-0000-019,2020/02/28 17:00,2020/03/01 17:00,B,http://happybirthday.com,code-audit-01
audit-record-25,AU-0000-020,2020/02/28 17:00,2020/03/01 17:00,B,https://www.urldeejemplo.com?,code-audit-01
audit-record-26,AU-0000-021,2020/02/28 17:00,2020/03/01 17:00,B,https://www.urldeejemplo.com/file.txt?parametro=valor,code-audit-01
audit-record-27,AU-0000-022,2020/02/28 17:00,2020/03/01 17:00,B,https://www.urldeejemplo.com/file.txt?parametro1=valor1&&parametro2=valor2,code-audit-01
audit-record-28,AU-0000-023,2020/02/28 17:00,2020/03/01 17:00,B,ftp://ftp.microsoft.com/,code-audit-01
audit-record-29,AU-0000-024,2020/02/28 17:00,2020/03/01 17:00,B,ftp://ftp.example.com/file.txt?parametro=valor&&name=nombre,code-audit-01
audit-record-30,AU-0000-025,2020/02/28 17:00,2020/03/01 17:00,B,http://acmejob255caracteres-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------/,code-audit-01
audit-record-31,AU-0000-026,2020/02/28 17:00,2020/03/01 17:00,B,,code-audit-01
audit-record-32,AU-0000-027,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-01
audit-record-33,AU-0000-028,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-02
audit-record-34,AU-0000-029,2020/02/28 17:00,2020/03/01 17:00,B,https://github.com/IbaiPerez,code-audit-03
